Location ID	Aquifer	Latitude	Longitude	Ground Elevation	Geologic Unit Code	Well Installation Date	Total Well Depth [ft]	Well Diameter [in]	Screen Top [ft]	Screen Bottom [ft]	Comments	WELL_COMPLETION_REPORT_URL	Location Type	Monitoring Area	Watershed	Well Status	Inactive Date	TOC Elevation	LWA Notes	Source	Max	Max Date	Last	Last Date	Max Hex	Max Date Hex	Last Hex	Last Date Hex	Length	Active	Exceedance	Substantial Data
03-02681	NULL	35.87323	-106.33071	7405.130	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:00-2681 Notes: Aggregate:03-010(a), NULL	NULL	SS(0-1ft)	General	Pajarito	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
03-24529	NULL	35.87378	-106.33015	7457.980	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	BH	General	Sandia	NULL	NULL	[84]		Well Info	No Detect Data	No Detect Data	No Detect Data	No Detect Data	No Data	No Data	No Data	No Data	1			
03-24530	NULL	35.87372	-106.33012	7458.280	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	BH	General	Pajarito	NULL	NULL	[84]		Well Info	4.0	2005-06-16	4.0	2005-06-16	No Data	No Data	No Data	No Data	1			
03-24548	NULL	35.87374	-106.33008	7458.260	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	BH	General	Pajarito	NULL	NULL	[84]		Well Info	No Detect Data	No Detect Data	No Detect Data	No Detect Data	No Data	No Data	No Data	No Data	1			
03-B-10	Intermediate	35.87372	-106.33012	7458.280	Qbt4	2005-06-04 00:00:00	31.10	2	20.6	30.600	Ground surface elevation Plugged and Abandoned 9/25/09, P&A 9/25/09, Ground surface elevation  Plugged and Abandoned 9/25/09, Ground surface elevation  Plugged and Abandoned 9/25/09	NULL	MON	General	Pajarito	PA	NULL	[84]		Well Info	15.6	2006-08-23	9.12	2009-09-14	No Data	No Data	No Data	No Data	28		Exceedance	Substantial
03-B-13	Intermediate	35.87374	-106.33008	7458.260	Qbt3	2005-06-10 00:00:00	32.00	2	21.5	31.500	Ground surface elevation, NULL, Ground surface elevation, Ground surface elevation	NULL	MON	General	Pajarito	A	NULL	[84]		Well Info	16.5	2006-08-24	0.204	2017-11-01	No Data	No Data	No Data	No Data	65	Active	Exceedance	Substantial
03-B-9	Intermediate	35.87378	-106.33015	7457.980	NULL	2005-06-03 00:00:00	31.80	2 in	21.3	31.300	Ground surface elevation Plugged and Abanonded 9/25/09, P&amp;A 9/25/09, Ground surface elevation  Plugged and Abanonded 9/25/09, Ground surface elevation  Plugged and Abanonded 9/25/09	NULL	MON	General	Sandia	PA	NULL	[84]	Well Diameter [in] updated from MW	Well Info	8.5	2007-07-11	3.7	2007-09-17	No Data	No Data	No Data	No Data	4		Exceedance	Substantial
03-MW-1	Intermediate	35.87374	-106.33013	7457.7	Qbt3	1994-09-22 00:00:00	28.80	2 in	23	28.000	NULL, ER ID 03-02664 plugged and abandoned 6/7/05, ER ID 03-02664 Well plugged and abandoned 6/7/05, ER ID 03-02664 Well plugged and abandoned 6/7/05	NULL	NULL	General	Pajarito	PA	NULL	[84]	Ground Elevation updated from MW, Well Diameter [in] updated from MW	Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
06-22848	NULL	35.87533	-106.26487	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, same xy as location R-6. Confirmed in R-6 Well Completion Report. Coordinate accuracy is unknown., NULL	NULL	NOC	TA-21	Los Alamos	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
11-22513	NULL	35.86288	-106.25154	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, same xy as location R-11. Coordinate accuracy is unknown., NULL	NULL	BH	Chromium	Sandia	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
14-02-19968	NULL	35.86177	-106.28564	7062.080	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	BH	MDA C	Mortendad	NULL	NULL	[84]		Well Info	No Detect Data	No Detect Data	No Detect Data	No Detect Data	No Data	No Data	No Data	No Data	2			
18-01023	NULL	35.83233	-106.25196	6647.800	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	BHover10ft	TA-54	Pajarito	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
18-01024	NULL	35.83245	-106.25194	6648.000	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	BHover10ft	TA-54	Pajarito	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
18-01060	NULL	35.84426	-106.27114	6776.450	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:TA-18 locid Notes: Aggregate:Monitoring Well, NULL	NULL	BH	General	Pajarito	NULL	NULL	[84]		Well Info	322.0	2000-10-17	322.0	2000-10-17	No Data	No Data	No Data	No Data	10		Exceedance	Substantial
18-01063	NULL	35.84429	-106.27125	6774.600	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	BH	General	Pajarito	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
18-01135	NULL	35.8421	-106.2688	6755.500	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:TA-18 locid Notes: Aggregate:Monitoring Well, NULL	NULL	BH	TA-54	Pajarito	NULL	NULL	[84]		Well Info	80.8	2000-10-17	75.4	2001-11-19	No Data	No Data	No Data	No Data	10		Exceedance	Substantial
18-01136	NULL	35.84201	-106.26871	6754.010	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	BH	TA-54	Pajarito	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
18-01165	NULL	35.83904	-106.26921	6747.070	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	BH	General	Pajarito	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
18-01166	NULL	35.83899	-106.26924	6747.790	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:TA-18 locid Notes: Aggregate:Monitoring Well, NULL	NULL	BH	General	Pajarito	NULL	NULL	[84]		Well Info	24.5	2000-10-17	24.5	2000-10-17	No Data	No Data	No Data	No Data	11		Exceedance	Substantial
18-01195	NULL	35.83898	-106.26475	6724.110	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	BH	General	Pajarito	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
18-01196	NULL	35.83895	-106.26467	6723.340	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:TA-18 locid Notes: Aggregate:Monitoring Well, NULL	NULL	BH	General	Pajarito	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
18-01233	NULL	35.83966	-106.26513	6730.010	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	BH	General	Pajarito	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
18-01234	NULL	35.83964	-106.26507	6732.910	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:TA-18 locid Notes: Aggregate:Monitoring Well, NULL	NULL	BH	General	Pajarito	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
18-01254	NULL	35.84005	-106.26633	6735.310	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	BH	General	Pajarito	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
18-01255	NULL	35.84011	-106.26622	6735.900	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:TA-18 locid Notes: Aggregate:Monitoring Well, NULL	NULL	BH	General	Pajarito	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
18-01275	NULL	35.84031	-106.2649	6740.130	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:TA-18 locid Notes: Aggregate:Monitoring Well, NULL	NULL	BH	TA-54	Pajarito	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
18-01684	NULL	35.83641	-106.2589	6695.200	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	SS(0-1ft)	TA-54	Pajarito	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
18-01685	NULL	35.83237	-106.25166	6654.700	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	SS(0-1ft)	TA-54	Pajarito	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
18-02013	NULL	35.84249	-106.2688	6758.800	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:TA-18 locid Notes: Aggregate:Monitoring Well, NULL	NULL	BHover10ft	TA-54	Pajarito	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
18-02014	NULL	35.84231	-106.26869	6758.500	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:TA-18 locid Notes: Aggregate:Monitoring Well, NULL	NULL	BHover10ft	TA-54	Pajarito	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
18-02015	NULL	35.8423	-106.26864	6758.300	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:TA-18 locid Notes: Aggregate:Monitoring Well, NULL	NULL	BHover10ft	TA-54	Pajarito	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
18-02016	NULL	35.84234	-106.2686	6758.300	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:TA-18 locid Notes: Aggregate:Monitoring Well, NULL	NULL	BHover10ft	TA-54	Pajarito	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
18-02023	NULL	35.83999	-106.2653	6736.700	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:TA-18 locid Notes: Aggregate:Monitoring Well, NULL	NULL	BHover10ft	TA-54	Pajarito	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
18-02024	NULL	35.8397	-106.26524	6730.100	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:TA-18 locid Notes: Aggregate:Monitoring Well, NULL	NULL	SS(0-1ft)	General	Pajarito	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
18-10010	NULL	35.83885	-106.26443	6725.700	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	BH	General	Pajarito	NULL	NULL	[84]		Well Info	20.0	1998-03-23	15.8	2001-11-19	No Data	No Data	No Data	No Data	20		Exceedance	Substantial
18-10011	NULL	35.8389	-106.26459	6727.300	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	BH	General	Pajarito	NULL	NULL	[84]		Well Info	40.0	1998-03-23	16.0	1998-09-22	No Data	No Data	No Data	No Data	11		Exceedance	Substantial
18-10012	NULL	35.83904	-106.26459	6725.800	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	BH	General	Pajarito	NULL	NULL	[84]		Well Info	20.0	1998-03-23	17.0	1998-09-22	No Data	No Data	No Data	No Data	11		Exceedance	Substantial
18-10013	NULL	35.83902	-106.26492	6727.900	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	BH	General	Pajarito	NULL	NULL	[84]		Well Info	40.0	1998-03-23	6.4	1998-06-24	No Data	No Data	No Data	No Data	11		Exceedance	Substantial
18-10014	NULL	35.83878	-106.26476	6727.000	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	BH	General	Pajarito	NULL	NULL	[84]		Well Info	130.0	1997-12-16	10.0	1998-03-23	No Data	No Data	No Data	No Data	11		Exceedance	Substantial
18-10019	NULL	35.8392	-106.27095	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Record created for data migration. Coordinates loaded in 2008 for data cleanup, same xy as 'TA-18 Spring.' Coordinate accuracy is unknown., NULL	NULL	SS(0-1ft)	General	Pajarito	NULL	NULL	[84]		Well Info	4.6	1997-06-09	4.6	1997-06-09	No Data	No Data	No Data	No Data	1			
18-1060	NULL	35.84426	-106.27114	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: TA-18 locid Notes: Aggregate:Monitoring Well. Coordinates loaded in 2008 for data cleanup, same xy as 18-01060 and 18-BG-1. Coordinate accuracy is unknown., NULL	NULL	SS(0-1ft)	General	Pajarito	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
18-BG-1	Alluvial	35.84426	-106.27114	6776.450	Qal	1994-09-01 00:00:00	35.00	2 in	10	35.000	NULL, NULL	NULL	MON	General	Pajarito	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	6.72	2010-02-22	2.82	2010-07-26	No Data	No Data	No Data	No Data	30			Substantial
18-BG-4	Alluvial	35.83927	-106.2733	6768.000	Qal	1998-02-18 00:00:00	6.50	4 in	2.5	6.500	DGPS obtained 8/18/05 SA, CM, RK, NULL, DGPS obtained 8/18/05 SA, CM, RK, DGPS obtained 8/18/05 SA, CM, RK	NULL	MON	General	Pajarito	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
18-MW-10	NULL	35.84011	-106.26622	6735.900	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL, TA-18	NULL	MON	General	Pajarito	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
18-MW-11	Alluvial	35.84031	-106.2649	6740.130	Qal	NULL	47.00	2 in	27	47.000	NULL, NULL	NULL	MON	TA-54	Pajarito	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	3.4	2008-06-17	3.27	2010-07-30	No Data	No Data	No Data	No Data	28			Substantial
18-MW-12	NULL	35.83885	-106.26443	6725.7	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL, TA-18	NULL	NULL	General	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
18-MW-13	NULL	35.8389	-106.26459	6727.3	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL, TA-18	NULL	NULL	General	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
18-MW-14	NULL	35.83904	-106.26459	6725.8	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL, TA-18	NULL	NULL	General	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
18-MW-15	NULL	35.83902	-106.26492	6727.9	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL, TA-18	NULL	NULL	General	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
18-MW-16	NULL	35.83878	-106.26476	6727	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL, TA-18	NULL	NULL	General	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
18-MW-17	Alluvial	35.83641	-106.2589	6695.200	Qal	1995-09-01 00:00:00	22.00	2 in	12	22.000	NULL, NULL	NULL	MON	TA-54	Pajarito	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
18-MW-18	Alluvial	35.83237	-106.25166	6654.7	Qal	1995-07-31 00:00:00	23.00	2	12.5	23.000	NULL, NULL, TA-18	NULL	NULL	TA-54	Pajarito	A	NULL	[84]	Ground Elevation updated from MW	Well Info	15.0	2007-03-19	7.76	2010-07-26	No Data	No Data	No Data	No Data	38	Active	Exceedance	Substantial
18-MW-8	Alluvial	35.83899	-106.26924	6747.790	Qal	1994-08-04 00:00:00	37.90	2 in	8	38.000	NULL, NULL	NULL	MON	General	Pajarito	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	3.8	2008-06-16	2.78	2009-09-08	No Data	No Data	No Data	No Data	28			Substantial
18-MW-9	Alluvial	35.83964	-106.26507	6732.910	Qal	1994-07-21 00:00:00	21.00	2 in	6	21.000	NULL, NULL, TA-18	NULL	MON	General	Pajarito	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	2.8	2006-12-11	1.5	2008-09-11	No Data	No Data	No Data	No Data	28			Substantial
20-02-20857	NULL	35.83635	-106.25871	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, same xy as location R-20. Coordinate accuracy is unknown., NULL	NULL	BH	TA-54	Pajarito	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
21-01682	NULL	35.87418	-106.27507	6756.700	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	BH	TA-21	Los Alamos	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
21-01811	NULL	35.87787	-106.27357	7032.420	NULL	NULL	NULL	NULL	NULL	NULL	Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc: Notes: Aggregate:DP boreholes, NULL, Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc: Notes: Aggregate:DP boreholes, Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc: Notes: Aggregate:DP boreholes	NULL	MON	General	Los Alamos	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
21-01812	NULL	35.87765	-106.27161	7026.720	NULL	NULL	NULL	NULL	NULL	NULL	Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc: Notes: Aggregate:DP boreholes, NULL, Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc: Notes: Aggregate:DP boreholes, Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc: Notes: Aggregate:DP boreholes	NULL	MON	General	Los Alamos	NULL	NULL	[84]		Well Info	No Detect Data	No Detect Data	No Detect Data	No Detect Data	No Data	No Data	No Data	No Data	8			Substantial
23-02-20858	NULL	35.8239	-106.22471	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, same xy as location R-23. Coordinate accuracy is unknown., NULL	NULL	BH	TA-54	Mortendad	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
28-22573	NULL	35.86015	-106.25482	6728.610	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	BH	Chromium	Mortendad	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
32-02-20856	NULL	35.83095	-106.24872	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, same xy as location R-32. Coordinate accuracy is unknown., NULL	NULL	BH	TA-54	Pajarito	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
33-22850	NULL	35.86062	-106.27368	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, same xy as location R-33. Coordinate accuracy is unknown., NULL, Coordinates loaded in 2008 for data cleanup, same xy as location R-33. Coordinate accuracy is unknown., Coordinates loaded in 2008 for data cleanup, same xy as location R-33. Coordinate accuracy is unknown.	NULL	MON	Chromium	Mortendad	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
34-22851	NULL	35.84825	-106.23927	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, same xy as location R-34. Coordinate accuracy is unknown., NULL	NULL	NOC	General	Mortendad	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
35-02371	NULL	35.8622	-106.28734	7087.690	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes:BOREHOLE Aggregate:, NULL	NULL	SS(0-1ft)	General	Mortendad	NULL	NULL	[84]		Well Info	32.2	1997-04-30	32.2	1997-04-30	No Data	No Data	No Data	No Data	1		Exceedance	
36-02020	NULL	35.83716	-106.25843	6687.000	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	SS(0-1ft)	TA-54	Pajarito	NULL	NULL	[84]		Well Info	48.2	2001-11-19	48.2	2001-11-19	No Data	No Data	No Data	No Data	1		Exceedance	
36-02021	NULL	35.83015	-106.24567	6618.300	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	BHover10ft	TA-54	Pajarito	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
36-02022	NULL	35.82478	-106.23088	6546.300	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:, NULL	NULL	SS(0-1ft)	General	Pajarito	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
36-2020	NULL	35.83716	-106.25843	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinates loaded in 2008 for data cleanup, same xy as 36-02020. Coordinate accuracy is unknown., NULL	NULL	SS(0-1ft)	TA-54	Pajarito	NULL	NULL	[84]		Well Info	No Detect Data	No Detect Data	No Detect Data	No Detect Data	No Data	No Data	No Data	No Data	1			
3MAO-1a	NULL	35.84803	-106.29784	7005.060	NULL	NULL	NULL	NULL	NULL	NULL	Abandoned Location - Ground Level, NULL	NULL	BH	General	Pajarito	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
3MAO-2	Alluvial	35.83915	-106.27238	6759.435	Qal	2008-06-04 00:00:00	30.00	4 in	14.7	24.700	Brass Cap, NULL, Brass Cap, Brass Cap	NULL	MON	General	Pajarito	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	5.56	2010-06-07	5.56	2010-06-07	No Data	No Data	No Data	No Data	18			Substantial
